gene	21373_7_20	21373_7_37	21373_7_60	21373_7_102	21373_7_106	21373_7_139	21373_7_152	21373_7_160	21373_7_166	21373_7_169	21373_7_175	21373_7_183	21373_7_202	21373_7_204	21373_7_216	21373_7_221	21373_7_225	21373_7_239	21373_7_254	21373_7_262	21373_7_271	21373_7_279	21373_7_304	21373_7_317	21373_7_327	21373_7_340	21373_7_346	21373_7_354	21373_7_358	21373_7_369	21373_7_377	21373_7_381
ENSMMUG00000005656	46.01	790.01	763.01	206.01	59.6368	536.893	332.01	425.01	0	115.01	350.164	484.01	357.01	651.666	215.01	406.01	39.01	1087.31	937.952	486.01	639.01	905.409	312.01	664.89	675.277	66.01	360.01	333.186	495.01	424.206	196.01	180.01
ENSMMUG00000010161	0	0	0	0	0	0	0	15.01	0	0	0	0	3.01	16.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.01	0	0
ENSMMUG00000019668	0	0	0	0	0	0	0	41.0501	0	0	12.2098	0	32.2567	22.4591	40.02	74.6445	0	0	0	0	0	0	14.01	0	13.01	0	0	0	0	0	0	0
ENSMMUG00000007878	2.01	55.01	0	66.01	18.01	0	38.01	32.01	0	5.01	0	0	43.01	40.01	71.01	0	2.01	0	6.0124	26.01	0	111.01	258.01	123.01	9.01	50.01	22.01	20.01	104.01	74.01	9.01	21.01
ENSMMUG00000023474	13.1697	2.01	47.6517	101.822	11.8022	3.09294	7.09423	11.0359	7.96114	1.02239	2.01226	2.29583	4.11544	5.04788	4.02162	7.59036	0	1.09464	18.0507	13.1383	0	6.06425	101.543	11.8156	18.3777	5.41034	4.07784	9.17461	1.21719	1.01551	0	1.01223
ENSMMUG00000019628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173.01	85.01	0	0	0	0	0	0	0	7.01	0	0	0	0	0
ENSMMUG00000021356	10.01	31.01	77.0358	0	0	20.01	12.01	117.19	0	15.01	26.01	0	60.01	131.01	22.01	0	36.01	125.01	15.01	15.01	0	125.01	145.01	0	67.01	6.01	9.01	64.01	26.01	107.01	28.01	0
ENSMMUG00000003135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0
ENSMMUG00000002661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013136	189.01	509.532	544.716	480.204	239.153	655.508	578.01	742.01	14.0506	247.984	696.488	912.01	549.066	686.362	311.01	468.863	688.353	1235.52	494.336	473.01	1331.87	618.647	839.241	446.851	1511.75	158.01	547.01	576.147	674.471	577.807	240.957	237.902
