gene	21373_7_6	21373_7_10	21373_7_33	21373_7_35	21373_7_41	21373_7_52	21373_7_56	21373_7_58	21373_7_62	21373_7_75	21373_7_79	21373_7_112	21373_7_135	21373_7_148	21373_7_162	21373_7_173	21373_7_185	21373_7_212	21373_7_214	21373_7_235	21373_7_244	21373_7_258	21373_7_269	21373_7_273	21373_7_281	21373_7_287	21373_7_338	21373_7_352	21373_7_375
ENSMMUG00000015830	9.01	17.01	49.01	85.01	118.672	30.01	45.2593	66.01	27.01	7.01	58.01	111.01	133.167	48.01	88.02	68.01	115.306	79.0935	16.01	128.01	126.02	197.97	92.01	49.01	0	178.01	164.02	408.01	90.01
ENSMMUG00000030037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029448	0	0	0	0	0	0	0	50.5563	0	0	26.01	51.01	0	0	0	0	72.01	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000007154	1.01	0	14.01	0	0	0	0	0	0	0	0	0	224.01	0	0	0	0	0	0	0	0	0	0	0	0	0	66.0299	0	10.01
ENSMMUG00000031607	0	0	0	11.01	0	0	0	0	8.89418	0	0	0	1.01	12.773	0	0	17.0325	0	0	0	0	0	0	12.1422	14.2442	0	0	8.56652	0
ENSMMUG00000030137	0	0	0	0	0	0	0	0	0	0	0	1.01276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031457	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010922	0	0	0	0	0	0	0	0	0	0	3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010143	0	0	0	13.01	0	1.01	0	0	0	25.01	0	0	0	0	0	0	0	66.01	9.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000030521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000005338	6.01	0	0	0	0	56.01	93.0199	0	148.02	142.02	0	82.02	0	12.01	25.02	0	0	8.01	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000007268	5.01	0	54.01	1.01	0	31.01	0	111.01	0	0	17.01	36.0345	0	40.01	22.01	0	9.01	0	0	0	0	0	0	0	0	0	50.01	0	0
ENSMMUG00000020760	1.01	0	63.01	0	0	0	0	0	0	0	16.01	0	0	0	0	0	0	78.01	2.01	0	0	0	0	1.01	0	0	0	0	88.01
