gene	21373_3_7	21373_3_8	21373_3_21	21373_3_31	21373_3_32	21373_3_50	21373_3_63	21373_3_64	21373_3_99	21373_3_113	21373_3_124	21373_3_131	21373_3_137	21373_3_138	21373_3_154	21373_3_158	21373_3_163	21373_3_167	21373_3_178	21373_3_188	21373_3_191	21373_3_192	21373_3_195	21373_3_208	21373_3_210	21373_3_219	21373_3_231	21373_3_233	21373_3_252	21373_3_275	21373_3_276	21373_3_295	21373_3_302	21373_3_310	21373_3_319	21373_3_326	21373_3_333	21373_3_341	21373_3_342	21373_3_360
ENSRNOG00000049179	0	0	0	0	0	0	0	0	0	0	0	100.01	0	0	0	0	0	0	0	0	0	0	0	100.01	0	69.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000007046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.01	0	0	0	140.01	0	0	8.10774	0	0	0	16.01	0	0	0	0	0	0	48.0323	0	0
ENSRNOG00000001187	12279.2	10186.4	410.13	1072.13	1472.92	406.966	7357.88	17385.9	3164.61	11034.1	606.298	4390.77	34623.5	2996.62	1164.6	6.08843	29.7283	21408.3	27.9424	334.011	7903.46	2406.62	4.34297	2259.8	1249.41	14846	21250.4	6197.08	1608.69	7746.38	10.6964	11306.3	2013.87	3862.72	15060.9	3077.13	3394.07	8818.92	8.27488	1823.92
ENSRNOG00000014964	0	0	0	0	3.01	0	0	48.7318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014276	0	0	0	0	0	0	0	49.01	0	0	0	0	0	0	0	0	266.01	0	0	0	0	0	0	71.01	0	0	0	0	0	0	0	0	0	0	0	0	69.01	0	0	0
ENSRNOG00000009867	0	0	0	0	0	0	0	0	0	0	71.01	0	45.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000003452	0	0	0	62.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000033214	0	0	3.04792	0	0	2.05039	1.1013	0	0	0	0	2.30633	0	2.12596	0	2.09072	2.25027	1.20969	1.05016	1.03845	0	1.03222	0	1.13014	2.15357	2.77854	3.68076	1.12234	0	1.72128	1.06337	1.08506	1.08136	2.03756	2.126	0	0	1.1974	0	0
ENSRNOG00000043180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053638	38.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
