gene	21373_3_39	21373_3_72	21373_3_77	21373_3_78	21373_3_91	21373_3_92	21373_3_96	21373_3_104	21373_3_109	21373_3_110	21373_3_117	21373_3_128	21373_3_133	21373_3_142	21373_3_155	21373_3_156	21373_3_179	21373_3_205	21373_3_229	21373_3_230	21373_3_242	21373_3_259	21373_3_260	21373_3_266	21373_3_291	21373_3_292	21373_3_298	21373_3_305	21373_3_315	21373_3_316	21373_3_322	21373_3_330	21373_3_372
ENSRNOG00000012247	1863.01	1193.77	2047.96	124.01	1507.68	280.206	321.951	949.01	90.6281	758.055	1000.92	308.005	1044.64	704.01	1639.01	926.128	1473.6	1002.26	776.882	67.7581	754.01	2470.67	1033.01	219.01	1775.76	3074.35	1195.95	4644.45	1093.64	353.01	769.76	452.01	440.01
ENSRNOG00000013878	0	12.01	0	0	0	0	0	0	114.07	0	0	4.01	2.01	0	0	0	0	62.0333	0	0	47.01	8.01	28.01	0	268.01	0	0	0	1.01	0	3.01	0	0
ENSRNOG00000018762	0	0	0	0	0	0	0	75.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01	0	0	0	0	0	0	0	0	0
ENSRNOG00000009274	40.01	0	2.01	37.5552	0	12.01	0	0	0	0	0	5.01	0	0	0	0	0	0	0	0	0	0	63.01	5.01	0	0	0	0	0	0	0	33.9334	12.01
ENSRNOG00000003326	431.222	73.01	0	12.01	304.01	37.01	60.01	0	3.01	107.01	0	9.01	0	0	0	2.01663	0	291.01	401.01	128.01	9.01	0	0	9.03913	82.01	0	53.01	582.01	3.01	0	4.01	0	21.02
ENSRNOG00000060914	280.01	111.01	0	79.01	214.01	75.01	87.01	818.602	29.01	75.01	430.728	47.01	105.769	0	1.01	155.01	247.01	90.1042	0	66.01	174.01	411.325	97.01	13.01	679.01	143.01	305.01	827.01	137.01	0	14.01	4.01	0
ENSRNOG00000014029	0	0	0	0	0	61.01	0	0	0	0	0	0	69.01	0	0	0	0	0	0	0	0	0	0	21.01	0	0	0	0	0	0	0	0	109.01
ENSRNOG00000018411	170.01	0	0	0	0	32.01	0	0	0	0	0	12.01	51.01	0	158.01	0	0	0	0	0	0	0	0	0	99.01	0	0	105.065	0	0	0	0	0
ENSRNOG00000015868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019768	1165.03	794.1	1175.56	228.379	1498.01	348.564	270.01	821.384	297.01	241.177	1208.98	457.733	1023.74	384.935	1266.94	705.825	796.34	1249.88	828.619	201.575	550.44	1417.86	1029.96	285.513	1191.02	728.685	1187.96	1517.82	855.872	270.01	286.01	558.039	428.02
ENSRNOG00000011964	0	0	0	3.01196	94.6951	0	1.06996	6.93809	48.3216	10.5666	2.0104	0	21.1968	0	17.4905	0	5.70812	268.702	5.10368	2.02022	2.0708	69.9483	2.176	4.72227	4.22415	2.01831	0	12.4935	3.01754	36.01	2.03206	3.06209	0
